,Preis MC Auktion [EUR/MWh],MC Referenzpreis [EUR/MWh]
01.10.2024 01:00:00,3,21
01.10.2024 02:00:00,0,7
01.10.2024 03:00:00,0,5
01.10.2024 04:00:00,0,2
01.10.2024 05:00:00,0,9
01.10.2024 06:00:00,6,15
01.10.2024 07:00:00,84,78
01.10.2024 08:00:00,97,96
01.10.2024 09:00:00,114,80
01.10.2024 10:00:00,100,5
01.10.2024 11:00:00,76,27
01.10.2024 12:00:00,51,99
01.10.2024 13:00:00,50,96
01.10.2024 14:00:00,55,45
01.10.2024 15:00:00,56,34
01.10.2024 16:00:00,61,78
01.10.2024 17:00:00,94,36
01.10.2024 18:00:00,124,52
01.10.2024 19:00:00,159,86
01.10.2024 20:00:00,176,21
01.10.2024 21:00:00,130,50
01.10.2024 22:00:00,96,18
01.10.2024 23:00:00,91,45
02.10.2024 00:00:00,76,24
02.10.2024 01:00:00,85,21
02.10.2024 02:00:00,80,6
02.10.2024 03:00:00,76,86
02.10.2024 04:00:00,73,46
02.10.2024 05:00:00,74,96
02.10.2024 06:00:00,80,95
02.10.2024 07:00:00,111,31
02.10.2024 08:00:00,120,33
02.10.2024 09:00:00,135,48
02.10.2024 10:00:00,116,62
02.10.2024 11:00:00,101,90
02.10.2024 12:00:00,95,44
02.10.2024 13:00:00,93,30
02.10.2024 14:00:00,90,0
02.10.2024 15:00:00,87,56
02.10.2024 16:00:00,94,60
02.10.2024 17:00:00,97,44
02.10.2024 18:00:00,104,52
02.10.2024 19:00:00,99,32
02.10.2024 20:00:00,119,16
02.10.2024 21:00:00,109,97
02.10.2024 22:00:00,98,53
02.10.2024 23:00:00,94,20
03.10.2024 00:00:00,85,0
03.10.2024 01:00:00,66,52
03.10.2024 02:00:00,63,35
03.10.2024 03:00:00,63,82
03.10.2024 04:00:00,61,1
03.10.2024 05:00:00,59,96
03.10.2024 06:00:00,62,93
03.10.2024 07:00:00,85,59
03.10.2024 08:00:00,104,95
03.10.2024 09:00:00,103,49
03.10.2024 10:00:00,90,10
03.10.2024 11:00:00,82,46
03.10.2024 12:00:00,74,51
03.10.2024 13:00:00,66,96
03.10.2024 14:00:00,61,7
03.10.2024 15:00:00,68,22
03.10.2024 16:00:00,82,30
03.10.2024 17:00:00,99,64
03.10.2024 18:00:00,105,4
03.10.2024 19:00:00,108,21
03.10.2024 20:00:00,125,9
03.10.2024 21:00:00,90,96
03.10.2024 22:00:00,95,20
03.10.2024 23:00:00,90,96
04.10.2024 00:00:00,80,81
04.10.2024 01:00:00,73,99
04.10.2024 02:00:00,72,52
04.10.2024 03:00:00,72,45
04.10.2024 04:00:00,72,62
04.10.2024 05:00:00,72,33
04.10.2024 06:00:00,77,10
04.10.2024 07:00:00,103,0
04.10.2024 08:00:00,132,58
04.10.2024 09:00:00,141,66
04.10.2024 10:00:00,118,53
04.10.2024 11:00:00,101,67
04.10.2024 12:00:00,88,78
04.10.2024 13:00:00,76,20
04.10.2024 14:00:00,71,93
04.10.2024 15:00:00,74,20
04.10.2024 16:00:00,83,71
04.10.2024 17:00:00,95,74
04.10.2024 18:00:00,110,30
04.10.2024 19:00:00,132,64
04.10.2024 20:00:00,149,89
04.10.2024 21:00:00,123,70
04.10.2024 22:00:00,99,90
04.10.2024 23:00:00,99,90
05.10.2024 00:00:00,90,0
05.10.2024 01:00:00,93,10
05.10.2024 02:00:00,84,64
05.10.2024 03:00:00,81,40
05.10.2024 04:00:00,75,54
05.10.2024 05:00:00,75,72
05.10.2024 06:00:00,79,82
05.10.2024 07:00:00,86,20
05.10.2024 08:00:00,100,40
05.10.2024 09:00:00,110,47
05.10.2024 10:00:00,101,53
05.10.2024 11:00:00,79,70
05.10.2024 12:00:00,65,8
05.10.2024 13:00:00,48,81
05.10.2024 14:00:00,36,68
05.10.2024 15:00:00,38,35
05.10.2024 16:00:00,58,27
05.10.2024 17:00:00,81,18
05.10.2024 18:00:00,102,7
05.10.2024 19:00:00,136,95
05.10.2024 20:00:00,141,94
05.10.2024 21:00:00,106,85
05.10.2024 22:00:00,94,16
05.10.2024 23:00:00,84,6
06.10.2024 00:00:00,67,0
06.10.2024 01:00:00,65,0
06.10.2024 02:00:00,60,52
06.10.2024 03:00:00,58,89
06.10.2024 04:00:00,57,85
06.10.2024 05:00:00,56,71
06.10.2024 06:00:00,57,81
06.10.2024 07:00:00,57,65
06.10.2024 08:00:00,65,86
06.10.2024 09:00:00,71,6
06.10.2024 10:00:00,60,95
06.10.2024 11:00:00,35,6
06.10.2024 12:00:00,16,68
06.10.2024 13:00:00,5,25
06.10.2024 14:00:00,0,1
06.10.2024 15:00:00,0,1
06.10.2024 16:00:00,0,20
06.10.2024 17:00:00,62,79
06.10.2024 18:00:00,92,26
06.10.2024 19:00:00,105,84
06.10.2024 20:00:00,121,20
06.10.2024 21:00:00,96,95
06.10.2024 22:00:00,80,78
06.10.2024 23:00:00,70,98
07.10.2024 00:00:00,61,23
07.10.2024 01:00:00,34,58
07.10.2024 02:00:00,35,34
07.10.2024 03:00:00,33,25
07.10.2024 04:00:00,30,2
07.10.2024 05:00:00,37,48
07.10.2024 06:00:00,62,0
07.10.2024 07:00:00,96,78
07.10.2024 08:00:00,132,82
07.10.2024 09:00:00,108,32
07.10.2024 10:00:00,91,80
07.10.2024 11:00:00,66,9
07.10.2024 12:00:00,60,22
07.10.2024 13:00:00,54,72
07.10.2024 14:00:00,43,29
07.10.2024 15:00:00,55,0
07.10.2024 16:00:00,70,19
07.10.2024 17:00:00,103,82
07.10.2024 18:00:00,137,44
07.10.2024 19:00:00,221,65
07.10.2024 20:00:00,229,60
07.10.2024 21:00:00,130,51
07.10.2024 22:00:00,95,93
07.10.2024 23:00:00,88,29
08.10.2024 00:00:00,80,57
08.10.2024 01:00:00,75,33
08.10.2024 02:00:00,70,35
08.10.2024 03:00:00,64,90
08.10.2024 04:00:00,63,74
08.10.2024 05:00:00,63,91
08.10.2024 06:00:00,70,98
08.10.2024 07:00:00,97,47
08.10.2024 08:00:00,107,68
08.10.2024 09:00:00,101,71
08.10.2024 10:00:00,80,5
08.10.2024 11:00:00,42,68
08.10.2024 12:00:00,8,94
08.10.2024 13:00:00,-1,74
08.10.2024 14:00:00,-8,32
08.10.2024 15:00:00,-6,22
08.10.2024 16:00:00,55,8
08.10.2024 17:00:00,88,97
08.10.2024 18:00:00,110,84
08.10.2024 19:00:00,143,71
08.10.2024 20:00:00,156,76
08.10.2024 21:00:00,108,31
08.10.2024 22:00:00,86,58
08.10.2024 23:00:00,80,80
09.10.2024 00:00:00,64,95
09.10.2024 01:00:00,57,42
09.10.2024 02:00:00,53,96
09.10.2024 03:00:00,51,48
09.10.2024 04:00:00,48,51
09.10.2024 05:00:00,51,18
09.10.2024 06:00:00,60,66
09.10.2024 07:00:00,91,54
09.10.2024 08:00:00,109,43
09.10.2024 09:00:00,106,63
09.10.2024 10:00:00,90,60
09.10.2024 11:00:00,74,94
09.10.2024 12:00:00,62,13
09.10.2024 13:00:00,61,65
09.10.2024 14:00:00,63,51
09.10.2024 15:00:00,71,12
09.10.2024 16:00:00,81,48
09.10.2024 17:00:00,87,3
09.10.2024 18:00:00,111,46
09.10.2024 19:00:00,128,79
09.10.2024 20:00:00,122,95
09.10.2024 21:00:00,102,84
09.10.2024 22:00:00,90,0
09.10.2024 23:00:00,89,97
10.10.2024 00:00:00,84,58
10.10.2024 01:00:00,52,21
10.10.2024 02:00:00,40,89
10.10.2024 03:00:00,32,68
10.10.2024 04:00:00,27,46
10.10.2024 05:00:00,26,6
10.10.2024 06:00:00,34,96
10.10.2024 07:00:00,57,89
10.10.2024 08:00:00,83,34
10.10.2024 09:00:00,80,46
10.10.2024 10:00:00,67,50
10.10.2024 11:00:00,52,1
10.10.2024 12:00:00,39,4
10.10.2024 13:00:00,21,92
10.10.2024 14:00:00,15,96
10.10.2024 15:00:00,20,1
10.10.2024 16:00:00,38,37
10.10.2024 17:00:00,58,81
10.10.2024 18:00:00,88,42
10.10.2024 19:00:00,96,42
10.10.2024 20:00:00,122,15
10.10.2024 21:00:00,102,96
10.10.2024 22:00:00,90,41
10.10.2024 23:00:00,83,16
11.10.2024 00:00:00,69,93
11.10.2024 01:00:00,79,96
11.10.2024 02:00:00,73,21
11.10.2024 03:00:00,72,52
11.10.2024 04:00:00,67,91
11.10.2024 05:00:00,69,81
11.10.2024 06:00:00,74,13
11.10.2024 07:00:00,99,95
11.10.2024 08:00:00,140,41
11.10.2024 09:00:00,155,49
11.10.2024 10:00:00,110,1
11.10.2024 11:00:00,90,0
11.10.2024 12:00:00,72,35
11.10.2024 13:00:00,61,65
11.10.2024 14:00:00,57,17
11.10.2024 15:00:00,59,56
11.10.2024 16:00:00,66,84
11.10.2024 17:00:00,67,41
11.10.2024 18:00:00,103,32
11.10.2024 19:00:00,158,8
11.10.2024 20:00:00,171,53
11.10.2024 21:00:00,119,65
11.10.2024 22:00:00,98,43
11.10.2024 23:00:00,95,66
12.10.2024 00:00:00,86,73
12.10.2024 01:00:00,89,8
12.10.2024 02:00:00,76,39
12.10.2024 03:00:00,71,74
12.10.2024 04:00:00,70,0
12.10.2024 05:00:00,67,33
12.10.2024 06:00:00,71,9
12.10.2024 07:00:00,72,42
12.10.2024 08:00:00,83,71
12.10.2024 09:00:00,71,64
12.10.2024 10:00:00,50,15
12.10.2024 11:00:00,35,30
12.10.2024 12:00:00,34,28
12.10.2024 13:00:00,26,29
12.10.2024 14:00:00,14,82
12.10.2024 15:00:00,23,34
12.10.2024 16:00:00,46,35
12.10.2024 17:00:00,65,83
12.10.2024 18:00:00,87,99
12.10.2024 19:00:00,101,15
12.10.2024 20:00:00,95,78
12.10.2024 21:00:00,64,3
12.10.2024 22:00:00,45,42
12.10.2024 23:00:00,34,87
13.10.2024 00:00:00,25,37
13.10.2024 01:00:00,0,0
13.10.2024 02:00:00,0,1
13.10.2024 03:00:00,0,7
13.10.2024 04:00:00,0,37
13.10.2024 05:00:00,0,51
13.10.2024 06:00:00,0,9
13.10.2024 07:00:00,0,12
13.10.2024 08:00:00,0,66
13.10.2024 09:00:00,5,43
13.10.2024 10:00:00,0,57
13.10.2024 11:00:00,0,27
13.10.2024 12:00:00,0,87
13.10.2024 13:00:00,-6,4
13.10.2024 14:00:00,-12,16
13.10.2024 15:00:00,-7,86
13.10.2024 16:00:00,-1,48
13.10.2024 17:00:00,4,13
13.10.2024 18:00:00,23,55
13.10.2024 19:00:00,60,90
13.10.2024 20:00:00,74,86
13.10.2024 21:00:00,63,27
13.10.2024 22:00:00,49,28
13.10.2024 23:00:00,46,32
14.10.2024 00:00:00,46,61
14.10.2024 01:00:00,48,68
14.10.2024 02:00:00,36,95
14.10.2024 03:00:00,37,41
14.10.2024 04:00:00,36,68
14.10.2024 05:00:00,41,38
14.10.2024 06:00:00,62,20
14.10.2024 07:00:00,98,71
14.10.2024 08:00:00,129,46
14.10.2024 09:00:00,151,62
14.10.2024 10:00:00,98,16
14.10.2024 11:00:00,88,97
14.10.2024 12:00:00,77,23
14.10.2024 13:00:00,67,97
14.10.2024 14:00:00,68,10
14.10.2024 15:00:00,74,16
14.10.2024 16:00:00,84,98
14.10.2024 17:00:00,96,31
14.10.2024 18:00:00,151,81
14.10.2024 19:00:00,241,11
14.10.2024 20:00:00,257,49
14.10.2024 21:00:00,158,0
14.10.2024 22:00:00,112,98
14.10.2024 23:00:00,99,66
15.10.2024 00:00:00,94,80
15.10.2024 01:00:00,89,30
15.10.2024 02:00:00,85,36
15.10.2024 03:00:00,84,63
15.10.2024 04:00:00,81,4
15.10.2024 05:00:00,77,2
15.10.2024 06:00:00,85,96
15.10.2024 07:00:00,111,74
15.10.2024 08:00:00,181,50
15.10.2024 09:00:00,171,22
15.10.2024 10:00:00,110,53
15.10.2024 11:00:00,92,70
15.10.2024 12:00:00,83,5
15.10.2024 13:00:00,78,47
15.10.2024 14:00:00,72,6
15.10.2024 15:00:00,77,33
15.10.2024 16:00:00,88,99
15.10.2024 17:00:00,102,89
15.10.2024 18:00:00,138,64
15.10.2024 19:00:00,162,19
15.10.2024 20:00:00,148,98
15.10.2024 21:00:00,107,86
15.10.2024 22:00:00,87,6
15.10.2024 23:00:00,75,74
16.10.2024 00:00:00,58,91
16.10.2024 01:00:00,46,88
16.10.2024 02:00:00,12,80
16.10.2024 03:00:00,5,30
16.10.2024 04:00:00,3,61
16.10.2024 05:00:00,3,55
16.10.2024 06:00:00,34,32
16.10.2024 07:00:00,82,33
16.10.2024 08:00:00,108,52
16.10.2024 09:00:00,87,54
16.10.2024 10:00:00,54,29
16.10.2024 11:00:00,26,68
16.10.2024 12:00:00,14,17
16.10.2024 13:00:00,4,9
16.10.2024 14:00:00,2,4
16.10.2024 15:00:00,4,0
16.10.2024 16:00:00,14,18
16.10.2024 17:00:00,61,71
16.10.2024 18:00:00,95,74
16.10.2024 19:00:00,86,97
16.10.2024 20:00:00,80,23
16.10.2024 21:00:00,67,40
16.10.2024 22:00:00,55,4
16.10.2024 23:00:00,35,14
17.10.2024 00:00:00,26,54
17.10.2024 01:00:00,17,4
17.10.2024 02:00:00,12,15
17.10.2024 03:00:00,10,48
17.10.2024 04:00:00,5,61
17.10.2024 05:00:00,10,1
17.10.2024 06:00:00,29,6
17.10.2024 07:00:00,69,55
17.10.2024 08:00:00,98,82
17.10.2024 09:00:00,91,99
17.10.2024 10:00:00,73,76
17.10.2024 11:00:00,52,6
17.10.2024 12:00:00,19,5
17.10.2024 13:00:00,0,0
17.10.2024 14:00:00,-5,91
17.10.2024 15:00:00,1,40
17.10.2024 16:00:00,65,0
17.10.2024 17:00:00,91,38
17.10.2024 18:00:00,115,28
17.10.2024 19:00:00,170,39
17.10.2024 20:00:00,161,27
17.10.2024 21:00:00,112,20
17.10.2024 22:00:00,93,84
17.10.2024 23:00:00,86,62
18.10.2024 00:00:00,79,89
18.10.2024 01:00:00,76,16
18.10.2024 02:00:00,62,5
18.10.2024 03:00:00,53,58
18.10.2024 04:00:00,62,1
18.10.2024 05:00:00,64,41
18.10.2024 06:00:00,79,2
18.10.2024 07:00:00,92,57
18.10.2024 08:00:00,138,65
18.10.2024 09:00:00,147,21
18.10.2024 10:00:00,77,87
18.10.2024 11:00:00,62,1
18.10.2024 12:00:00,43,93
18.10.2024 13:00:00,34,93
18.10.2024 14:00:00,1,34
18.10.2024 15:00:00,50,95
18.10.2024 16:00:00,78,60
18.10.2024 17:00:00,95,20
18.10.2024 18:00:00,122,51
18.10.2024 19:00:00,165,60
18.10.2024 20:00:00,142,9
18.10.2024 21:00:00,103,6
18.10.2024 22:00:00,96,35
18.10.2024 23:00:00,91,7
19.10.2024 00:00:00,83,28
