Time,sensor-readings.reading_A,sensor-readings.reading_B,diff
2022-08-01 07:38:45,6,2,4
2022-08-01 08:08:46,8,5,3
2022-08-01 08:24:46,10,6,4
2022-08-01 08:38:46,12,7,5
2022-08-01 08:54:46,13,11,2
2022-08-01 09:08:46,14,12,2
2022-08-01 09:24:47,22,18,4
2022-08-01 10:38:48,29,25,4
2022-08-01 10:54:48,34,26,8
2022-08-01 11:08:48,38,32,6
2022-08-01 11:54:49,41,35,6
2022-08-01 12:12:16,42,37,5
2022-08-01 12:24:16,44,38,6
2022-08-01 12:40:16,46,41,5
2022-08-01 13:54:21,53,50,3
2022-08-01 14:18:31,56,50,6
2022-08-01 14:40:20,57,51,6
2022-08-01 19:27:58,57,54,3
2022-08-02 07:54:37,1,1,0
2022-08-02 08:10:36,4,3,1
2022-08-02 09:10:37,10,5,5
2022-08-02 09:26:38,12,7,5
2022-08-02 09:40:38,15,8,7
2022-08-02 10:10:38,16,11,5
2022-08-02 10:24:39,23,15,8
2022-08-02 10:40:39,24,17,7
2022-08-02 11:26:39,27,20,7
2022-08-02 11:54:40,30,24,6
2022-08-02 12:24:41,34,30,4
2022-08-02 12:40:41,36,32,4
2022-08-02 12:54:41,38,33,5
2022-08-02 13:10:42,41,35,6
2022-08-02 13:24:42,42,36,6
2022-08-02 13:40:42,43,37,6
2022-08-02 14:10:43,44,40,4
2022-08-02 14:24:44,47,41,6
2022-08-02 14:54:43,49,45,4
2022-08-03 05:54:57,1,1,0
2022-08-03 07:08:58,3,3,0
2022-08-03 07:54:59,11,10,1
2022-08-03 08:08:59,17,15,2
2022-08-03 08:55:00,26,24,2
2022-08-03 09:39:01,31,28,3
2022-08-03 10:29:02,33,30,3
2022-08-03 11:09:02,41,36,5
2022-08-03 11:25:03,43,44,-1
2022-08-03 11:55:03,45,46,-1
2022-08-03 12:25:03,49,50,-1
2022-08-03 12:55:04,51,53,-2
2022-08-03 18:27:36,51,54,-3
2022-08-04 07:11:22,1,1,0
2022-08-04 07:39:22,5,5,0
2022-08-04 07:55:21,7,6,1
2022-08-04 08:55:23,11,8,3
2022-08-04 09:09:23,14,10,4
2022-08-04 09:25:22,15,12,3
2022-08-04 09:39:23,19,14,5
2022-08-04 09:55:23,20,18,2
2022-08-04 10:27:23,23,21,2
2022-08-04 10:39:23,29,24,5
2022-08-04 11:11:24,32,31,1
2022-08-04 12:09:25,41,36,5
2022-08-04 12:31:25,43,39,4
2022-08-04 12:55:25,51,46,5
2022-08-04 13:41:27,55,52,3
2022-08-04 14:09:28,61,58,3
2022-08-04 14:27:27,63,61,2
2022-08-04 14:55:28,64,63,1
2022-08-04 15:11:28,65,64,1
2022-08-04 16:15:29,67,67,0
2022-08-04 16:25:29,70,68,2
2022-08-05 07:53:44,7,5,2
2022-08-05 08:11:44,8,8,0
2022-08-05 08:23:46,10,11,-1
2022-08-05 08:53:45,16,17,-1
2022-08-05 09:09:45,19,19,0
2022-08-05 10:09:46,22,20,2
2022-08-05 11:23:47,25,22,3
2022-08-05 12:25:48,27,24,3
2022-08-05 12:39:48,37,30,7
2022-08-05 12:53:49,38,32,6
2022-08-05 13:11:49,41,36,5
2022-08-05 13:53:50,42,40,2
2022-08-08 06:55:14,1,1,0
2022-08-08 08:09:15,6,4,2
2022-08-08 08:25:15,8,6,2
2022-08-08 09:39:17,9,11,-2
2022-08-08 10:27:19,11,13,-2
2022-08-08 10:55:20,16,20,-4
2022-08-08 12:09:22,22,23,-1
2022-08-08 12:25:22,25,26,-1
2022-08-08 12:55:23,28,29,-1
2022-08-08 13:09:24,30,31,-1
2022-08-08 13:25:25,31,33,-2
2022-08-08 13:55:25,33,34,-1
2022-08-08 14:09:25,34,35,-1
2022-08-08 14:55:26,35,37,-2
2022-08-08 15:41:28,37,38,-1
2022-08-09 05:39:55,1,1,0
2022-08-09 07:53:59,6,5,1
2022-08-09 09:54:02,14,13,1
2022-08-09 10:10:02,22,18,4
2022-08-09 10:54:03,26,26,0
2022-08-09 11:24:05,33,30,3
2022-08-09 11:40:05,35,33,2
2022-08-09 11:54:05,39,36,3
2022-08-09 12:10:05,43,38,5
2022-08-09 12:40:07,45,41,4
2022-08-09 12:54:06,46,42,4
2022-08-09 13:40:08,50,45,5
2022-08-09 14:10:10,51,46,5
2022-08-09 14:24:10,53,52,1
2022-08-09 14:54:11,55,53,2
2022-08-09 15:10:12,56,54,2
2022-08-09 16:10:13,57,56,1
2022-08-10 07:38:40,5,2,3
2022-08-10 08:08:41,6,3,3
2022-08-10 08:38:42,7,4,3
2022-08-10 09:08:43,8,5,3
2022-08-10 09:38:23,8,5,3
2022-08-10 09:54:44,12,7,5
2022-08-10 10:08:46,13,8,5
2022-08-10 10:24:45,14,13,1
2022-08-10 10:38:45,17,14,3
2022-08-10 11:10:46,26,21,5
2022-08-10 11:40:47,27,22,5
2022-08-10 11:56:48,30,23,7
2022-08-10 13:08:51,32,28,4
2022-08-10 13:38:51,38,32,6
2022-08-10 14:26:52,41,36,5
2022-08-10 19:10:59,41,37,4
2022-08-10 19:45:21,41,37,4
2022-08-11 07:55:23,1,1,0
2022-08-11 08:39:24,5,3,2
2022-08-11 08:55:25,7,4,3
2022-08-11 09:09:26,8,5,3
2022-08-11 09:39:26,9,7,2
2022-08-11 10:39:28,15,15,0
2022-08-11 11:09:29,18,19,-1
2022-08-11 12:11:30,23,22,1
2022-08-11 13:39:34,25,26,-1
2022-08-11 14:23:34,26,27,-1
2022-08-11 14:41:35,27,28,-1
2022-08-11 15:39:37,28,31,-3
2022-08-12 07:54:05,1,1,0
2022-08-12 08:54:07,5,4,1
2022-08-12 09:24:08,8,8,0
2022-08-12 10:10:10,15,12,3
2022-08-12 11:26:10,26,24,2
2022-08-12 11:54:12,29,26,3
2022-08-12 12:40:13,32,29,3
2022-08-12 13:24:14,36,33,3
2022-08-14 16:23:44,4,4,0
2022-08-14 16:39:44,8,6,2
2022-08-15 12:24:19,1,1,0
2022-08-15 18:38:30,2,2,0
2022-08-16 07:24:51,6,1,5
2022-08-16 07:40:52,9,2,7
2022-08-16 08:54:55,11,4,7
2022-08-16 09:08:56,16,7,9
2022-08-16 09:24:56,19,9,10
2022-08-16 09:38:56,20,15,5
2022-08-16 10:08:58,26,21,5
2022-08-16 10:38:59,36,31,5
2022-08-16 10:54:58,40,36,4
2022-08-16 11:25:00,47,43,4
2022-08-16 11:40:59,49,45,4
2022-08-16 12:09:01,51,49,2
2022-08-16 12:25:01,52,50,2
2022-08-16 12:55:02,59,57,2
2022-08-16 13:11:02,60,58,2
2022-08-16 13:25:04,61,59,2
2022-08-16 13:39:03,65,61,4
2022-08-16 14:09:04,69,63,6
2022-08-16 14:39:05,70,64,6
2022-08-16 14:55:06,71,68,3
2022-08-16 15:09:06,74,71,3
2022-08-16 15:25:06,75,72,3
2022-08-16 15:57:07,76,74,2
2022-08-16 16:39:08,77,75,2
2022-08-17 06:53:33,1,1,0
2022-08-17 07:09:34,5,6,-1
2022-08-17 07:25:34,7,11,-4
2022-08-17 08:23:36,10,14,-4
2022-08-17 08:53:36,12,15,-3
2022-08-17 09:09:37,13,17,-4
2022-08-17 09:53:38,16,20,-4
2022-08-17 10:23:39,21,22,-1
2022-08-17 10:39:39,23,23,0
2022-08-17 10:53:40,25,26,-1
2022-08-17 11:25:40,27,28,-1
2022-08-17 11:41:41,33,34,-1
2022-08-17 11:53:42,34,35,-1
2022-08-17 12:09:42,40,40,0
2022-08-17 12:53:43,44,47,-3
2022-08-17 13:27:45,51,48,3
2022-08-17 14:11:47,57,56,1
2022-08-17 14:23:47,62,57,5
2022-08-17 14:39:47,63,59,4
2022-08-17 16:11:45,65,62,3
2022-08-18 07:20:18,1,1,0
2022-08-18 07:24:18,2,2,0
2022-08-18 08:08:20,8,6,2
2022-08-18 08:56:20,10,7,3
2022-08-18 09:24:21,11,9,2
2022-08-18 09:54:22,12,12,0
2022-08-18 10:08:22,19,21,-2
2022-08-18 10:24:24,21,22,-1
2022-08-18 10:38:25,26,25,1
2022-08-18 10:54:25,28,29,-1
2022-08-18 11:24:25,36,35,1
2022-08-18 11:40:25,46,44,2
2022-08-18 12:26:26,51,54,-3
2022-08-18 12:38:26,53,55,-2
2022-08-18 13:24:28,57,58,-1
2022-08-18 13:38:29,59,62,-3
2022-08-18 13:56:29,61,64,-3
2022-08-19 07:08:59,1,1,0
2022-08-19 07:39:00,6,6,0
2022-08-19 08:55:02,8,9,-1
2022-08-19 09:57:04,13,13,0
2022-08-19 10:25:04,15,14,1
2022-08-19 10:55:05,16,15,1
2022-08-19 11:25:07,17,16,1
2022-08-19 11:55:07,20,19,1
2022-08-19 12:09:07,21,22,-1
2022-08-19 12:25:08,22,23,-1
2022-08-21 16:24:39,1,1,0
2022-08-21 16:38:40,4,4,0
2022-08-22 06:39:05,1,1,0
2022-08-22 10:53:13,3,2,1
2022-08-22 11:23:14,7,3,4
2022-08-22 11:39:14,16,11,5
2022-08-22 11:53:15,21,21,0
2022-08-22 12:09:15,23,23,0
2022-08-22 13:09:17,28,27,1
2022-08-22 13:53:19,29,29,0
2022-08-22 14:39:19,33,31,2
2022-08-22 15:23:20,34,34,0
2022-08-23 07:53:48,1,1,0
2022-08-23 08:53:51,2,2,0
2022-08-23 09:39:52,5,3,2
2022-08-23 10:09:52,7,8,-1
2022-08-23 10:53:54,11,12,-1
2022-08-23 11:55:57,15,13,2
2022-08-23 12:11:58,21,19,2
2022-08-23 12:53:57,28,25,3
2022-08-23 13:23:58,29,26,3
2022-08-23 13:39:59,31,28,3
2022-08-23 13:53:59,34,33,1
2022-08-23 14:26:01,36,34,2
2022-08-23 14:54:00,37,36,1
2022-08-23 15:24:01,39,37,2
2022-08-23 16:10:04,40,39,1
2022-08-24 05:38:26,1,1,0
2022-08-24 07:54:30,4,2,2
2022-08-24 08:08:31,8,6,2
2022-08-24 09:10:33,12,10,2
2022-08-24 11:08:36,23,22,1
2022-08-24 11:38:37,29,27,2
2022-08-24 12:08:38,35,28,7
2022-08-24 12:24:39,40,33,7
2022-08-24 12:38:39,41,36,5
2022-08-24 12:54:40,44,39,5
2022-08-24 13:08:40,45,41,4
2022-08-24 15:08:43,50,45,5
2022-08-25 06:09:11,1,1,0
2022-08-25 07:39:13,5,5,0
2022-08-25 07:53:12,7,7,0
2022-08-25 08:11:14,13,12,1
2022-08-25 08:53:14,15,13,2
2022-08-25 09:39:16,20,17,3
2022-08-25 09:53:16,22,19,3
2022-08-25 10:09:16,23,20,3
2022-08-25 10:39:18,33,28,5
2022-08-25 11:09:18,35,35,0
2022-08-25 11:23:19,39,37,2
2022-08-25 11:39:20,43,42,1
2022-08-25 11:53:20,45,45,0
2022-08-25 12:09:20,47,49,-2
2022-08-25 13:39:23,53,52,1
2022-08-25 13:53:23,54,54,0
2022-08-25 15:11:14,61,62,-1
2022-08-26 08:39:56,4,1,3
2022-08-26 10:10:00,7,4,3
2022-08-26 11:10:00,17,11,6
2022-08-26 13:12:04,22,17,5
2022-08-26 14:08:07,26,23,3
2022-08-26 15:08:08,29,27,2
2022-08-28 16:39:35,1,1,0
2022-08-29 07:56:04,1,1,0
2022-08-29 08:08:04,3,3,0
2022-08-29 09:38:06,9,9,0
2022-08-29 10:08:08,10,12,-2
2022-08-29 10:24:07,11,15,-4
2022-08-29 11:38:10,20,22,-2
2022-08-29 11:54:10,22,24,-2
2022-08-29 12:24:11,25,25,0
2022-08-29 12:38:10,27,30,-3
2022-08-29 13:10:12,32,33,-1
2022-08-29 13:24:12,34,36,-2
2022-08-29 14:38:14,36,39,-3
2022-08-29 15:24:16,37,41,-4
2022-08-29 15:56:16,38,42,-4
2022-08-30 06:38:42,1,1,0
2022-08-30 07:08:44,5,2,3
2022-08-30 07:54:44,6,4,2
2022-08-30 08:08:45,7,5,2
2022-08-30 08:24:46,9,6,3
2022-08-30 08:56:46,12,10,2
2022-08-30 09:08:46,18,13,5
2022-08-30 10:56:50,29,24,5
2022-08-30 11:40:51,34,29,5
2022-08-30 12:08:51,39,30,9
2022-08-30 12:24:52,41,32,9
2022-08-30 12:38:52,42,35,7
2022-08-30 12:54:53,44,38,6
2022-08-30 13:24:54,47,42,5
2022-08-30 13:38:54,48,43,5
2022-08-31 06:27:24,1,1,0
2022-08-31 07:23:26,9,5,4
2022-08-31 07:39:26,13,9,4
2022-08-31 07:55:26,16,10,6
2022-08-31 08:09:27,17,11,6
2022-08-31 08:23:29,19,13,6
2022-08-31 08:39:29,21,15,6
2022-08-31 08:53:29,22,16,6
2022-08-31 09:09:31,27,21,6
2022-08-31 09:41:30,31,29,2
2022-08-31 10:23:32,41,32,9
2022-08-31 10:41:32,44,35,9
2022-08-31 10:53:32,45,37,8
2022-08-31 11:09:32,46,41,5
2022-08-31 11:39:36,49,44,5
2022-08-31 11:53:34,53,50,3
2022-08-31 12:11:36,59,56,3
2022-08-31 12:53:36,62,61,1
2022-08-31 13:11:37,65,64,1
2022-08-31 13:23:37,76,73,3
2022-08-31 13:39:37,80,75,5
2022-08-31 14:09:39,81,77,4
2022-08-31 14:23:38,86,84,2
2022-08-31 14:53:39,87,88,-1
2022-08-31 17:23:44,91,89,2
