,x,fun,jac,nit,nfev,njev,status,message,success
0,116.5628212093802,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
1,131.83696890758264,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
2,148.25910653881752,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
3,166.16993557361096,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
4,185.5180944470405,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
5,206.31603326374045,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
6,229.69954550167628,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
7,255.69914317424565,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
8,302.63784695871215,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
9,436.57080040402184,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
10,465.8377871392077,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
11,724.5756029334285,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
12,228.27907256429307,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
13,404.1921520335538,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
14,860.9343876961321,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
15,112.1843139251553,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
16,185.682720776046,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
17,550.4975096633922,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
18,295.5138889952998,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
19,118.40617904831316,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
20,76.70724309497066,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
21,63.8305367367026,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
22,74.19658528920044,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
23,85.47334990557697,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
24,97.83929893627628,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
25,111.18763700660239,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
26,125.82273594065487,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
27,141.62304102526596,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
28,158.80465535565355,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
29,178.52528669518898,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
30,216.61034594241724,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
31,355.17797662565516,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
32,371.3563889287684,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
33,228.7755253403832,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
34,416.21135057727014,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
35,816.8174877969286,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
36,99.17196883637197,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
37,196.88439896606073,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
38,618.682267183765,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
39,51.034371285027994,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
40,140.12888502324844,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
41,187.35252683133018,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
42,23.314792376853305,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
43,30.402043220642945,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
44,38.13824374525951,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
45,45.9015971697205,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
46,54.906824596450775,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
47,64.53250850222594,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
48,75.02573452965466,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
49,86.27032713349627,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
50,98.532538835811,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
51,111.97693271635315,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
52,126.60083429655933,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
53,142.41002060239464,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
54,159.65828711416265,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
55,178.47467096686793,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
56,201.79498449323557,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
57,244.4971884227992,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
58,360.9988962208105,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
59,879.8926070768888,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
60,163.7332330218452,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
61,312.06667349105743,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
62,832.5923352241216,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
63,72.78175971325233,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
64,180.50126679237079,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
65,629.3885830530901,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
66,28.029227978888628,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
67,183.50872500921142,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
68,8.353204916066689,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
69,40.43694085437733,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
70,2.786061972314825e-15,16312.308756151437,1.0,24,1785,24,0,Optimization terminated successfully,True
71,2.37944752230131e-15,16312.308756151437,1.0000000000000002,24,1785,24,0,Optimization terminated successfully,True
